s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"CRate";5;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_1";1;42909321777;0;0;"Inventory";"Inventory";false;66.07;"Energy";1;6;6;"ATK flat";70;"RES";6;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";16;5;"Rare";80.36
"SPD";15;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_2";2;43305535809;0;0;"Inventory";"Inventory";false;65.18;"Energy";1;6;6;"ATK flat";70;"CRate";6;0;5;"-";"-";"-";"-";"-";"-";"-";"-";15;"-";"Rare";79.46
"SPD";22;{"enchanted":false,"gvalue":3};"ATK%";9;{"enchanted":false,"gvalue":4};"ACC";11;{"enchanted":true,"gvalue":0};"HP%";17;{"enchanted":false,"gvalue":4};"row_3";3;18227833209;153;0;"Veromos";"Inventory";false;100.89;"Energy";1;6;12;"ATK flat";118;"CRate";5;0;"-";"-";"-";11;9;"-";"-";17;"-";22;"-";"Legend";100.89
"HP%";9;{"enchanted":false,"gvalue":0};"HP flat";547;{"enchanted":false,"gvalue":0};"DEF%";16;{"enchanted":false,"gvalue":0};"ATK flat";23;{"enchanted":false,"gvalue":0};"row_5";5;41574923263;0;0;"Inventory";"Inventory";true;64.8;"Energy";2;5;12;"SPD";29;"";0;0;"-";"-";23;"-";"-";16;"-";9;547;"-";"-";"Legend";64.8
"CRate";7;{"enchanted":false,"gvalue":0};"DEF%";16;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_6";6;41649424457;0;0;"Inventory";"Inventory";true;55.78;"Energy";2;5;6;"SPD";17;"";0;0;"-";"-";"-";"-";"-";16;"-";"-";"-";"-";7;"Rare";70.07
"HP flat";395;{"enchanted":false,"gvalue":0};"RES";10;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_7";7;41851860502;0;0;"Inventory";"Inventory";false;55.55;"Energy";2;6;6;"SPD";19;"ACC";8;0;10;"-";"-";"-";"-";"-";"-";"-";395;"-";"-";"Rare";69.83
"ATK flat";20;{"enchanted":false,"gvalue":0};"CRate";9;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"HP%";4;{"enchanted":false,"gvalue":0};"row_8";8;42847819640;110;0;"Minato";"Inventory";true;64.74;"Energy";2;5;15;"SPD";39;"DEF flat";14;1;"-";11;20;"-";"-";"-";"-";4;"-";"-";9;"Hero";64.74
"HP%";5;{"enchanted":false,"gvalue":0};"DEF%";21;{"enchanted":false,"gvalue":0};"DEF flat";26;{"enchanted":false,"gvalue":0};"";0;{};"row_9";9;42907806005;0;0;"Inventory";"Inventory";false;68.04;"Energy";2;6;9;"SPD";25;"ATK%";5;0;"-";"-";"-";"-";"-";21;26;5;"-";"-";"-";"Hero";75.18
"CDmg";5;{"enchanted":false,"gvalue":0};"ATK%";11;{"enchanted":false,"gvalue":0};"ACC";17;{"enchanted":false,"gvalue":0};"RES";13;{"enchanted":false,"gvalue":0};"row_10";10;36404670431;0;0;"Inventory";"Inventory";false;78.44;"Energy";2;5;15;"SPD";39;"HP%";4;0;13;5;"-";17;11;"-";"-";"-";"-";"-";"-";"Legend";78.44
"DEF flat";28;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"CRate";14;{"enchanted":false,"gvalue":0};"";0;{};"row_11";11;42970021726;0;0;"Inventory";"Inventory";false;63.63;"Energy";2;6;9;"SPD";25;"";0;0;"-";"-";"-";"-";"-";7;28;"-";"-";"-";14;"Hero";70.77
"CDmg";11;{"enchanted":false,"gvalue":0};"DEF%";13;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_12";12;43149360687;0;0;"Inventory";"Inventory";false;60.23;"Energy";2;6;6;"SPD";19;"HP flat";177;0;"-";11;"-";"-";"-";13;"-";"-";"-";"-";"-";"Rare";74.52
"DEF flat";14;{"enchanted":false,"gvalue":0};"CRate";14;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_13";13;43314965621;0;0;"Inventory";"Inventory";false;54.88;"Energy";2;6;6;"SPD";19;"";0;0;"-";"-";"-";"-";"-";"-";14;"-";"-";"-";14;"Rare";69.17
"HP flat";918;{"enchanted":false,"gvalue":0};"ATK flat";10;{"enchanted":false,"gvalue":0};"DEF%";13;{"enchanted":false,"gvalue":0};"";0;{};"row_14";14;43328877966;0;0;"Inventory";"Inventory";false;57.85;"Energy";2;6;9;"SPD";25;"";0;0;"-";"-";10;"-";"-";13;"-";"-";918;"-";"-";"Hero";64.99
"HP flat";189;{"enchanted":false,"gvalue":0};"ATK%";18;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"";0;{};"row_15";15;43457205726;0;0;"Inventory";"Inventory";false;71.26;"Energy";2;6;9;"DEF%";38;"DEF flat";19;0;"-";"-";"-";"-";18;"-";"-";"-";189;12;"-";"Hero";78.41
"CRate";5;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_16";16;43300740738;0;0;"Inventory";"Inventory";false;64.88;"Energy";3;6;6;"DEF flat";70;"HP%";6;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";15;5;"Rare";79.17
"CRate";5;{"enchanted":false,"gvalue":0};"ACC";14;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"SPD";20;{"enchanted":false,"gvalue":0};"row_17";17;41735708919;40;0;"Savannah";"Inventory";true;77.98;"Energy";3;5;12;"DEF flat";99;"";0;1;6;"-";"-";14;"-";"-";"-";"-";"-";20;5;"Legend";77.98
"SPD";14;{"enchanted":false,"gvalue":3};"RES";5;{"enchanted":false,"gvalue":0};"DEF%";13;{"enchanted":false,"gvalue":0};"ACC";15;{"enchanted":false,"gvalue":0};"row_18";18;12357027252;0;0;"Inventory";"Inventory";false;81.85;"Energy";3;6;12;"DEF flat";118;"";0;0;5;"-";"-";15;"-";13;"-";"-";"-";14;"-";"Legend";81.85
"DEF%";14;{"enchanted":false,"gvalue":6};"RES";5;{"enchanted":false,"gvalue":0};"SPD";22;{"enchanted":false,"gvalue":3};"HP%";12;{"enchanted":true,"gvalue":5};"row_19";19;9775625214;3;0;"Tyron *";"Inventory";false;95.71;"Energy";3;6;15;"DEF flat";160;"CDmg";6;0;5;"-";"-";"-";"-";14;"-";12;"-";22;"-";"Hero";95.71
"SPD";11;{"enchanted":false,"gvalue":0};"DEF%";11;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_20";20;43463514286;0;0;"Inventory";"Inventory";false;63.73;"Energy";3;6;6;"DEF flat";70;"CDmg";5;0;"-";"-";"-";"-";"-";11;"-";"-";"-";11;"-";"Rare";78.02
"ACC";6;{"enchanted":true,"gvalue":0};"SPD";21;{"enchanted":false,"gvalue":0};"HP%";7;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"row_21";21;11052453933;166;0;"Aegir *";"Inventory";false;84.69;"Energy";4;6;15;"CRate";58;"CDmg";6;1;"-";"-";"-";6;"-";7;"-";7;"-";21;"-";"Legend";84.69
"DEF%";15;{"enchanted":true,"gvalue":4};"ATK%";37;{"enchanted":false,"gvalue":11};"SPD";10;{"enchanted":false,"gvalue":3};"HP%";24;{"enchanted":false,"gvalue":8};"row_22";22;38582102828;146;0;"Diana";"Inventory";true;115.48;"Energy";4;6;15;"CRate";58;"";0;1;"-";"-";"-";"-";37;15;"-";24;"-";10;"-";"Hero";115.48
"ATK%";12;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"CRate";4;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"row_23";23;42908749134;110;0;"Minato";"Inventory";false;74.58;"Energy";4;6;12;"CDmg";59;"ATK flat";11;1;8;"-";"-";"-";12;"-";"-";"-";"-";12;4;"Hero";74.58
"ACC";8;{"enchanted":false,"gvalue":0};"DEF flat";15;{"enchanted":false,"gvalue":0};"SPD";19;{"enchanted":false,"gvalue":0};"HP flat";299;{"enchanted":false,"gvalue":0};"row_26";26;41481913069;145;0;"Ganymede";"Inventory";false;71;"Energy";4;6;12;"HP%";47;"";0;1;"-";"-";"-";8;"-";"-";15;"-";299;19;"-";"Hero";71
"SPD";16;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"ATK flat";14;{"enchanted":false,"gvalue":0};"";0;{};"row_27";27;40694353842;0;0;"Inventory";"Inventory";false;71.55;"Energy";5;6;9;"HP flat";1440;"CRate";6;0;"-";"-";14;8;"-";"-";"-";"-";"-";16;"-";"Rare";78.69
"SPD";15;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_28";28;41485191882;0;0;"Inventory";"Inventory";false;66.07;"Energy";5;6;6;"HP flat";1080;"DEF%";7;0;"-";"-";"-";7;"-";"-";"-";"-";"-";15;"-";"Rare";80.36
"HP%";7;{"enchanted":false,"gvalue":0};"ATK flat";35;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"";0;{};"row_29";29;40214804260;0;0;"Inventory";"Inventory";false;71.43;"Energy";5;6;9;"HP flat";1440;"ACC";6;0;"-";"-";35;"-";"-";"-";"-";7;"-";15;"-";"Hero";78.57
"ACC";12;{"enchanted":false,"gvalue":0};"ATK flat";12;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"";0;{};"row_30";30;43300719700;40;0;"Savannah";"Inventory";false;66.43;"Energy";5;6;9;"HP flat";1440;"";0;1;"-";"-";12;12;"-";"-";"-";"-";"-";15;"-";"Hero";73.57
"DEF%";8;{"enchanted":false,"gvalue":0};"RES";11;{"enchanted":false,"gvalue":0};"CDmg";19;{"enchanted":false,"gvalue":0};"ACC";14;{"enchanted":false,"gvalue":0};"row_31";31;43319426156;147;0;"Belladeon *";"Inventory";false;90.52;"Energy";5;6;12;"HP flat";1800;"SPD";5;0;11;19;"-";14;"-";8;"-";"-";"-";"-";"-";"Legend";90.52
"ACC";7;{"enchanted":false,"gvalue":0};"SPD";18;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"";0;{};"row_32";32;40214784883;0;0;"Inventory";"Inventory";false;79.38;"Energy";5;6;9;"HP flat";1440;"CRate";4;1;"-";11;"-";7;"-";"-";"-";"-";"-";18;"-";"Hero";86.52
"HP%";8;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_35";35;41084181968;36;0;"Oliver";"Inventory";false;68.15;"Guard";1;6;6;"ATK flat";70;"ACC";7;1;"-";"-";"-";"-";"-";"-";"-";8;"-";16;"-";"Rare";82.44
"CRate";6;{"enchanted":false,"gvalue":0};"HP%";29;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"row_36";36;38014819034;0;0;"Inventory";"Inventory";false;92.26;"Guard";1;6;12;"ATK flat";118;"ATK%";7;1;6;"-";"-";"-";"-";"-";"-";29;"-";10;6;"Legend";92.26
"CDmg";16;{"enchanted":false,"gvalue":0};"SPD";13;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_37";37;43489579162;0;0;"Inventory";"Inventory";true;73.77;"Guard";1;6;6;"ATK flat";70;"ATK%";7;0;"-";16;"-";"-";"-";"-";"-";"-";"-";13;"-";"Rare";88.05
"RES";20;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"CRate";9;{"enchanted":false,"gvalue":0};"HP flat";365;{"enchanted":false,"gvalue":0};"row_38";38;36131027588;0;0;"Inventory";"Inventory";false;80.86;"Guard";2;6;15;"DEF%";63;"CDmg";7;0;20;"-";"-";"-";"-";"-";"-";"-";365;5;9;"Hero";80.86
"ATK flat";49;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"";0;{};"row_39";39;41068780888;0;0;"Inventory";"Inventory";false;69.46;"Guard";2;6;9;"DEF%";38;"DEF flat";20;0;"-";7;49;"-";"-";"-";"-";"-";"-";12;"-";"Hero";76.61
"SPD";12;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"ATK%";15;{"enchanted":false,"gvalue":0};"";0;{};"row_40";40;41551930765;0;0;"Inventory";"Inventory";false;66.96;"Guard";2;6;9;"HP%";38;"";0;0;4;"-";"-";"-";15;"-";"-";"-";"-";12;"-";"Hero";74.11
"DEF flat";26;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"SPD";9;{"enchanted":false,"gvalue":0};"";0;{};"row_41";41;41583232575;0;0;"Inventory";"Inventory";false;68.63;"Guard";2;6;9;"HP%";38;"ACC";5;0;"-";"-";"-";"-";"-";"-";26;"-";"-";9;11;"Hero";75.77
"CRate";8;{"enchanted":false,"gvalue":0};"RES";15;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_42";42;41597414332;0;0;"Inventory";"Inventory";false;58.63;"Guard";2;6;6;"SPD";19;"";0;0;15;"-";"-";"-";"-";"-";"-";"-";"-";"-";8;"Rare";72.92
"RES";5;{"enchanted":false,"gvalue":0};"HP flat";909;{"enchanted":false,"gvalue":0};"HP%";14;{"enchanted":false,"gvalue":0};"";0;{};"row_43";43;41606579165;0;0;"Inventory";"Inventory";false;68.48;"Guard";2;6;9;"SPD";25;"DEF%";8;0;5;"-";"-";"-";"-";"-";"-";14;909;"-";"-";"Hero";75.62
"CDmg";5;{"enchanted":false,"gvalue":0};"HP flat";713;{"enchanted":false,"gvalue":0};"RES";16;{"enchanted":false,"gvalue":0};"";0;{};"row_44";44;41607191763;0;0;"Inventory";"Inventory";false;61.89;"Guard";2;6;9;"SPD";25;"";0;0;16;5;"-";"-";"-";"-";"-";"-";713;"-";"-";"Hero";69.04
"ATK%";6;{"enchanted":false,"gvalue":0};"DEF%";16;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_45";45;42186951393;0;0;"Inventory";"Inventory";false;52.81;"Guard";2;5;6;"SPD";17;"";0;0;"-";"-";"-";"-";6;16;"-";"-";"-";"-";"-";"Rare";67.09
"DEF flat";13;{"enchanted":false,"gvalue":0};"CDmg";12;{"enchanted":false,"gvalue":0};"CRate";15;{"enchanted":false,"gvalue":0};"";0;{};"row_46";46;42496084017;0;0;"Inventory";"Inventory";false;68.14;"Guard";2;6;9;"SPD";25;"";0;0;"-";12;"-";"-";"-";"-";13;"-";"-";"-";15;"Hero";75.28
"CRate";6;{"enchanted":false,"gvalue":0};"ATK flat";46;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_47";47;43164756124;0;0;"Inventory";"Inventory";false;51.07;"Guard";2;6;6;"SPD";19;"";0;0;"-";"-";46;"-";"-";"-";"-";"-";"-";"-";6;"Rare";65.36
"RES";5;{"enchanted":false,"gvalue":0};"HP%";21;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"";0;{};"row_48";48;43237721134;0;0;"Inventory";"Inventory";false;77.98;"Guard";3;6;9;"DEF flat";94;"DEF%";8;1;5;"-";"-";"-";"-";"-";"-";21;"-";10;"-";"Hero";85.12
"SPD";21;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":0};"row_49";49;40801981816;0;0;"Inventory";"Inventory";false;85.71;"Guard";3;6;12;"DEF flat";118;"";0;0;8;"-";"-";"-";"-";7;"-";13;"-";21;"-";"Legend";85.71
"SPD";6;{"enchanted":false,"gvalue":0};"ATK%";5;{"enchanted":false,"gvalue":0};"HP%";27;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"row_50";50;36512767709;254;0;"Susano *";"Inventory";false;91.67;"Guard";4;6;12;"CDmg";59;"ACC";8;0;"-";"-";"-";"-";5;"-";"-";27;"-";6;11;"Legend";91.67
"ATK%";11;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"SPD";8;{"enchanted":false,"gvalue":0};"DEF%";23;{"enchanted":false,"gvalue":0};"row_51";51;36216324401;0;0;"Inventory";"Inventory";false;82.74;"Guard";4;6;15;"CDmg";80;"";0;0;"-";"-";"-";"-";11;23;"-";8;"-";8;"-";"Legend";82.74
"DEF flat";30;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"ATK%";15;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"row_52";52;9310474949;0;0;"Inventory";"Inventory";false;77.38;"Guard";4;6;12;"CDmg";59;"CRate";4;0;"-";"-";"-";"-";15;7;30;"-";"-";10;"-";"Legend";77.38
"DEF%";13;{"enchanted":false,"gvalue":0};"RES";11;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"";0;{};"row_53";53;41083733918;0;0;"Inventory";"Inventory";false;69.05;"Guard";4;6;9;"CDmg";47;"";0;0;11;"-";"-";"-";"-";13;"-";"-";"-";10;"-";"Hero";76.19
"ATK%";7;{"enchanted":false,"gvalue":0};"ATK flat";31;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":0};"";0;{};"row_54";54;43200758704;0;0;"Inventory";"Inventory";false;71.31;"Guard";5;6;9;"HP flat";1440;"ACC";8;0;"-";"-";31;"-";7;"-";"-";"-";"-";14;"-";"Hero";78.45
"CRate";5;{"enchanted":false,"gvalue":0};"SPD";18;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"";0;{};"row_55";55;37497456624;0;0;"Inventory";"Inventory";false;75.34;"Guard";5;6;9;"HP flat";1440;"HP%";8;0;"-";5;"-";"-";"-";"-";"-";"-";"-";18;5;"Rare";82.48
"HP%";17;{"enchanted":false,"gvalue":4};"SPD";17;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"DEF%";19;{"enchanted":false,"gvalue":5};"row_56";56;38167265400;47;0;"Dias";"Inventory";false;101.49;"Guard";5;6;12;"HP flat";1800;"RES";7;1;"-";7;"-";"-";"-";19;"-";17;"-";17;"-";"Legend";101.49
"HP%";23;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"SPD";13;{"enchanted":false,"gvalue":0};"DEF flat";13;{"enchanted":false,"gvalue":0};"row_57";57;36410533428;0;0;"Inventory";"Inventory";true;81.19;"Guard";6;6;15;"RES";64;"";0;0;"-";"-";"-";8;"-";"-";13;23;"-";13;"-";"Hero";81.19
"ATK%";7;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"ACC";28;{"enchanted":false,"gvalue":0};"";0;{};"row_58";58;40004341917;16;0;"Spectra";"Inventory";false;74.11;"Guard";6;6;9;"DEF%";38;"";0;1;"-";"-";"-";28;7;"-";"-";"-";"-";6;"-";"Hero";81.25
"SPD";10;{"enchanted":false,"gvalue":0};"HP%";21;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"ATK%";10;{"enchanted":false,"gvalue":0};"row_59";59;41787971730;0;0;"Inventory";"Inventory";false;81.42;"Guard";6;6;12;"RES";48;"";0;0;"-";6;"-";"-";10;"-";"-";21;"-";10;"-";"Legend";81.42
"SPD";16;{"enchanted":false,"gvalue":0};"ATK flat";26;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"DEF flat";20;{"enchanted":false,"gvalue":0};"row_60";60;40217731100;36;0;"Oliver";"Inventory";false;76.37;"Guard";6;6;12;"HP%";47;"ACC";7;1;"-";7;26;"-";"-";"-";20;"-";"-";16;"-";"Hero";76.37
"ACC";9;{"enchanted":false,"gvalue":0};"SPD";13;{"enchanted":false,"gvalue":0};"ATK%";12;{"enchanted":false,"gvalue":0};"HP flat";194;{"enchanted":false,"gvalue":0};"row_62";62;42847830845;0;0;"Inventory";"Inventory";true;64.53;"Guard";6;5;12;"RES";38;"";0;0;"-";"-";"-";9;12;"-";"-";"-";194;13;"-";"Legend";64.53
